"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","用户核心模块","2","0","接口用例","0"
"0","","0","用户核心模块","2","0","查询用户信息","0"
